seq_index;Pgen_estimate
9416;2.65756e-08
9417;1.38966e-07
9419;8.65073e-10
9413;6.53652e-12
9412;3.49191e-12
9409;1.49948e-13
9408;4.08458e-12
9407;1.11553e-08
9410;2.16039e-10
9411;4.20498e-14
9404;1.70703e-06
9405;8.96639e-09
9403;1.70408e-08
9406;5.99643e-13
9402;7.9841e-09
9399;4.88953e-09
9400;1.99287e-14
9396;3.19113e-11
9397;2.63898e-11
9401;3.24318e-10
9395;6.25329e-14
9398;2.07969e-07
9388;nan
9392;5.76144e-07
9393;5.50504e-13
9389;1.62267e-09
9394;9.03519e-12
9387;2.39481e-08
9384;5.49885e-08
9386;6.6676e-07
9391;7.56319e-10
9390;1.00816e-17
9385;3.49704e-10
9381;5.54091e-13
9383;3.07818e-11
9380;2.04524e-08
9379;1.63007e-08
9378;1.02566e-13
9382;3.35107e-10
9376;2.25791e-09
9375;1.26636e-10
9372;4.854e-09
9373;6.94447e-09
9377;1.14164e-07
9374;1.76735e-11
9369;2.5126e-10
9371;2.142e-11
9370;1.83179e-15
9365;2.56137e-07
9367;9.49789e-09
9366;2.5823e-09
9364;4.59435e-11
9361;4.44335e-09
9368;1.29692e-09
9362;1.91916e-12
9363;7.86498e-12
9359;1.66756e-08
9355;2.92843e-09
9354;8.21833e-13
9360;3.21768e-08
9356;9.4496e-10
9353;7.21095e-08
9357;1.24424e-10
9358;3.31737e-09
9347;nan
9352;1.6756e-10
9351;1.66591e-15
9350;4.35294e-10
9349;5.03782e-14
9344;3.25222e-11
9345;2.88611e-08
9348;2.14837e-14
9346;5.01882e-09
9343;3.18178e-08
9340;8.05427e-11
9336;8.06867e-08
9342;2.99711e-09
9337;1.0834e-07
9338;4.76101e-08
9341;4.72046e-12
9339;4.72682e-15
9334;2.32886e-10
9335;3.19815e-10
9330;4.93082e-08
9333;3.24484e-09
9331;6.63984e-07
9332;2.62235e-08
9329;1.9916e-07
9327;4.57632e-09
9326;9.88356e-08
9328;7.52032e-09
9321;1.75053e-09
9323;8.22847e-09
9322;3.91314e-09
9324;4.01954e-08
9325;1.05708e-09
9320;6.77187e-10
9319;2.12507e-11
9318;1.57669e-06
9315;1.6277e-08
9317;3.26426e-08
9314;1.01302e-09
9309;nan
9316;6.24552e-08
9313;1.6882e-09
9311;1.20464e-07
9312;5.64286e-10
9310;1.2229e-10
9303;nan
9308;5.2415e-08
9307;2.63257e-08
9305;1.21858e-07
9304;2.00268e-07
9306;4.06208e-09
9301;4.21371e-13
9302;1.66649e-09
9298;2.20199e-09
9299;8.47432e-09
9300;6.40294e-08
9297;5.51681e-08
9296;7.84776e-09
9295;1.05687e-07
9288;nan
9293;4.93945e-09
9291;9.43118e-08
9292;5.23956e-09
9294;8.52456e-08
9290;3.17656e-08
9289;9.01492e-15
9287;3.98981e-09
9281;5.90339e-10
9282;1.08359e-08
9285;2.13672e-11
9286;1.5076e-08
9280;1.69495e-07
9283;3.60009e-09
9275;nan
9284;1.65242e-09
9277;5.06783e-08
9279;9.92334e-08
9278;1.47414e-12
9274;7.75695e-08
9276;5.74735e-15
9273;7.62088e-07
9272;7.44599e-11
9271;5.09038e-09
9270;2.7928e-08
9267;3.01945e-12
9269;1.55995e-08
9268;7.28016e-07
9264;1.24201e-08
9262;2.50138e-08
9266;1.36957e-07
9265;1.14679e-08
9261;2.14538e-10
9263;1.09238e-08
9258;4.37455e-09
9260;1.09591e-09
9251;nan
9257;7.75306e-16
9256;2.21771e-08
9255;1.82473e-08
9254;1.46007e-09
9252;2.57126e-13
9253;5.26346e-10
9259;1.60763e-10
9250;5.62515e-09
9249;5.17471e-08
9248;3.14638e-10
9246;8.63162e-11
9245;1.53508e-12
9247;4.24633e-10
9243;1.37793e-09
9244;1.63097e-11
9241;4.15773e-08
9242;2.8146e-07
9239;7.38773e-10
9240;1.61317e-10
9238;3.51304e-15
9237;1.07137e-07
9234;3.49628e-09
9236;1.96967e-07
9235;2.3854e-08
9232;1.40711e-08
9233;3.08871e-08
9228;nan
9231;4.23536e-09
9230;1.1158e-10
9225;1.02117e-09
9223;4.60912e-07
9224;2.1633e-10
9227;2.25803e-08
9222;2.08598e-09
9229;2.56666e-15
9226;1.23612e-09
9221;2.34834e-15
9220;1.47519e-12
9217;3.47236e-08
9216;6.79462e-13
9218;5.27342e-10
9212;3.08982e-09
9214;2.21788e-08
9219;9.01481e-16
9215;6.84602e-09
9213;6.43825e-08
9210;1.49097e-08
9211;3.75732e-08
9207;7.00644e-09
9208;3.43858e-11
9205;3.55283e-08
9204;1.46188e-09
9209;6.70614e-09
9206;2.41791e-09
9203;1.40905e-07
9197;2.52046e-07
9200;7.9593e-07
9201;4.86344e-08
9202;8.88588e-09
9199;1.19283e-07
9196;8.00628e-09
9194;5.98465e-10
9198;1.04687e-07
9195;4.08681e-13
9192;3.77528e-07
9191;2.53222e-10
9193;1.92995e-08
9190;5.93811e-08
9188;1.15942e-09
9189;2.76757e-09
9185;3.2944e-10
9187;2.64044e-09
9186;3.93946e-08
9184;3.04764e-11
9183;1.12468e-06
9182;5.21415e-13
9180;2.06272e-11
9181;4.2987e-09
9179;1.29865e-08
9177;1.12025e-07
9178;2.39815e-08
9174;3.63455e-08
9175;1.77892e-09
9176;5.285e-08
9173;1.22017e-12
9170;6.37725e-07
9169;9.82012e-09
9171;1.58835e-09
9168;1.71796e-09
9167;2.75506e-07
9172;6.87995e-12
9166;6.97742e-10
9165;2.04328e-08
9163;4.08384e-08
9161;1.53949e-08
9162;9.77237e-08
9164;7.80707e-09
9159;7.09624e-10
9160;4.47223e-07
9157;8.89702e-10
9156;6.12403e-08
9150;nan
9158;3.44977e-08
9155;6.01279e-13
9153;7.83427e-15
9149;2.43798e-09
9154;6.21863e-09
9151;3.16704e-08
9152;3.28603e-08
9148;1.6352e-09
9141;8.55107e-09
9146;1.01655e-08
9147;7.5885e-12
9145;6.22751e-08
9144;1.65166e-07
9143;7.82195e-12
9142;3.32371e-08
9140;3.24484e-08
9136;6.85753e-10
9139;3.46319e-12
9137;7.80732e-10
9138;6.39258e-09
9134;4.25417e-12
9135;1.19864e-13
9133;4.53281e-13
9132;2.51176e-14
9131;2.17065e-08
9129;1.86615e-10
9130;2.74534e-11
9128;5.22581e-08
9127;2.81393e-07
9126;2.23949e-13
9125;6.13829e-08
9124;2.68276e-10
9120;1.66397e-11
9123;2.21535e-08
9121;1.06364e-07
9122;5.26492e-09
9117;4.51423e-10
9119;1.50987e-08
9118;2.29195e-08
9115;1.97662e-08
9116;5.67523e-14
9112;6.41855e-07
9114;6.60049e-08
9111;2.32189e-12
9109;8.94603e-09
9113;6.96469e-08
9106;6.94614e-08
9108;2.78106e-08
9107;4.08937e-08
9103;1.61204e-09
9104;1.80516e-11
9110;2.38897e-08
9101;1.09232e-11
9102;1.05153e-08
9105;9.34128e-08
9099;4.34025e-11
9098;4.27098e-09
9100;9.63068e-09
9096;6.30997e-13
9095;3.56804e-08
9097;4.21577e-11
9094;5.96696e-09
9093;8.05903e-13
9088;3.39461e-09
9089;6.05141e-10
9090;3.84332e-09
9091;1.22524e-08
9092;4.15442e-06
9085;1.44998e-07
9086;5.47363e-09
9081;4.239e-12
9087;3.27669e-09
9082;2.82537e-08
9080;6.13012e-11
9084;1.12343e-10
9083;7.14509e-08
9078;2.08043e-07
9076;5.01641e-08
9075;1.57115e-08
9079;4.89175e-09
9077;1.62711e-08
9073;1.48183e-08
9074;6.36703e-08
9072;1.79163e-13
9071;2.12625e-09
9070;1.26383e-08
9069;5.67479e-16
9066;2.36432e-08
9064;7.04566e-09
9067;1.77586e-09
9068;1.04105e-09
9065;7.79006e-18
9063;7.55129e-10
9061;1.08504e-07
9062;9.40276e-10
9053;nan
9060;2.02295e-08
9057;4.58849e-09
9056;1.26357e-08
9059;4.77089e-10
9058;1.36738e-10
9055;3.7152e-09
9054;1.88859e-07
9051;4.99928e-08
9050;9.24027e-08
9048;7.46409e-08
9047;3.1639e-11
9049;1.14861e-11
9052;3.88968e-07
9042;nan
9046;7.2005e-09
9044;8.83229e-08
9045;4.87353e-13
9043;8.91791e-08
9040;6.49614e-08
9039;5.18447e-08
9038;2.08081e-13
9035;1.37063e-08
9037;1.06496e-08
9036;1.12308e-09
9031;2.59523e-09
9032;1.06329e-08
9033;1.36673e-14
9034;2.92581e-07
9030;2.62343e-10
9028;7.79753e-09
9029;1.58941e-11
9025;4.28396e-08
9024;2.49566e-07
9026;5.41518e-08
9021;1.2973e-09
9027;3.44747e-11
9020;2.49445e-09
9023;1.0961e-17
9022;1.07109e-07
9019;9.13039e-09
9018;5.98463e-08
9017;4.09656e-08
9014;1.63885e-08
9016;1.17852e-07
9015;1.85354e-08
9010;2.40659e-15
9011;7.4641e-09
9013;5.57323e-10
9041;nan
9012;2.04953e-10
9009;1.81047e-07
9008;1.66658e-08
9005;9.88799e-14
9004;1.72584e-08
9007;2.07687e-08
8998;nan
9003;8.0081e-08
9002;5.12941e-13
9001;1.08036e-07
9006;1.96279e-07
9000;8.80874e-11
8997;1.35301e-09
8999;1.73577e-07
8996;5.64931e-08
8993;2.1657e-11
8994;6.69413e-08
8995;5.60361e-15
8990;3.18648e-08
8992;8.64783e-09
8991;7.35969e-08
8989;2.20556e-10
8988;8.64061e-09
8987;1.38317e-07
8985;1.64496e-09
8984;3.76372e-15
8986;1.46745e-07
8978;nan
8982;1.72647e-08
8983;4.13568e-08
8981;6.08153e-08
8979;5.07267e-13
8977;1.84273e-11
8976;2.39699e-07
8975;8.75287e-08
8974;1.026e-13
8973;2.12612e-12
8971;1.36446e-07
8980;2.02895e-10
8970;2.62046e-09
8972;7.37016e-09
8969;4.22002e-09
8967;4.72824e-08
8968;7.87203e-08
8966;1.97907e-09
8965;1.79677e-12
8964;2.18762e-08
8963;2.59976e-11
8962;4.09697e-12
8959;1.13886e-07
8961;6.49429e-12
8960;8.99967e-07
8958;1.45293e-08
8955;1.37317e-07
8957;1.59441e-09
8956;1.07379e-07
8953;1.5269e-08
8954;2.95492e-08
8950;1.71692e-08
8949;3.40172e-08
8951;7.7019e-14
8952;1.23935e-08
8948;3.0049e-14
8947;1.71139e-07
8946;3.00658e-08
8945;2.62038e-13
8944;5.20902e-09
8943;2.73016e-09
8940;1.63954e-08
8942;3.56029e-08
8941;5.31624e-09
8937;1.17408e-13
8939;3.95204e-09
8938;3.87653e-08
8933;1.03569e-07
8935;2.16568e-08
8936;2.92527e-13
8934;9.55408e-09
8932;6.89512e-09
8931;3.26766e-07
8930;4.59284e-10
8929;1.26983e-09
8928;9.49855e-11
8927;6.39884e-09
8925;4.70964e-09
8921;nan
8918;nan
8924;1.34241e-13
8926;1.51134e-11
8923;1.95443e-07
8920;1.07906e-08
8922;1.67156e-10
8917;2.87264e-09
8916;2.22186e-19
8911;nan
8915;4.03823e-08
8913;1.39358e-09
8919;2.10617e-09
8914;4.3311e-09
8912;3.2931e-08
8910;5.66851e-09
8909;1.50386e-10
8908;9.74602e-10
8906;1.62017e-09
8904;6.12598e-08
8905;1.05239e-15
8907;2.30244e-12
8900;4.20356e-11
8902;7.03392e-14
8903;1.4235e-08
8901;8.66414e-08
8898;1.10228e-07
8899;1.36527e-07
8897;1.54495e-13
8896;6.13971e-10
8895;1.40033e-09
8891;6.2706e-09
8893;6.64746e-11
8890;1.31972e-08
8892;7.56595e-11
8889;4.71206e-07
8894;9.97003e-10
8887;2.89311e-08
8888;5.80996e-09
8883;1.37507e-09
8884;7.10597e-12
8886;3.3857e-08
8885;1.20904e-07
8882;4.16914e-08
8881;6.62955e-09
8880;4.13821e-07
8879;4.51889e-09
8871;nan
8877;1.44381e-08
8876;4.0206e-07
8878;1.2328e-09
8875;1.92929e-07
8873;3.5634e-14
8874;2.32877e-11
8872;6.5399e-10
8868;1.24745e-08
8869;1.72185e-07
8870;2.92734e-08
8866;3.31959e-09
8865;6.49714e-08
8867;4.08983e-09
8864;3.20648e-10
8863;2.61773e-08
8862;2.30244e-07
8860;3.91873e-08
8861;2.04293e-11
8857;6.79092e-16
8859;2.94724e-08
8858;4.94096e-09
8854;4.14321e-08
8855;3.83069e-09
8856;4.7522e-09
8853;2.53893e-07
8851;1.82763e-07
8850;4.06202e-08
8849;5.10292e-08
8848;3.31488e-08
8852;6.73059e-09
8847;1.1185e-07
8846;4.40777e-16
8844;1.31901e-09
8845;1.54253e-09
8842;7.17155e-08
8841;1.80637e-09
8839;2.00883e-07
8843;2.36403e-11
8838;2.24718e-09
8837;1.3316e-08
8835;1.69716e-14
8836;1.03046e-13
8834;1.43237e-08
8832;1.3831e-09
8833;6.39217e-09
8829;1.42908e-08
8840;6.18287e-12
8831;3.41132e-11
8828;2.0896e-07
8830;7.11991e-13
8827;2.28419e-10
8826;3.2541e-10
8825;2.86959e-08
8824;1.00359e-07
8823;7.43883e-07
8821;3.56969e-16
8818;9.30276e-13
8822;5.55795e-09
8820;2.82419e-09
8819;4.22035e-09
8817;2.40223e-09
8814;1.1139e-07
8816;8.61524e-09
8812;4.00243e-12
8813;2.19232e-06
8815;7.30647e-10
8811;1.36081e-08
8810;2.33438e-08
8809;6.44642e-08
8807;5.3792e-10
8806;7.40417e-11
8808;6.1292e-09
8804;1.43986e-11
8805;3.99996e-07
8797;nan
8803;9.94026e-09
8800;1.91767e-07
8801;2.26402e-08
8802;3.65728e-08
8798;1.09085e-07
8799;8.46785e-11
8790;nan
8795;8.31428e-14
8796;5.0995e-08
8787;nan
8794;1.28743e-08
8792;6.07524e-10
8791;1.45131e-08
8793;3.07594e-08
8789;5.57364e-12
8788;9.21637e-08
8784;3.90475e-09
8786;1.30297e-09
8785;3.02236e-09
